"id","post_title","url","category","no_reads"
515312,"WWE News: NXT sensation vows to wrestle John Cena someday ","https://www.sportskeeda.com/wwe/wwe-news-nxt-sensation-vows-to-wrestle-john-cena-someday","article","60"
515324,"WWE News: Rey Mysterio to face Andrade in 2-out-of-3 Falls match on SmackDown Live","https://www.sportskeeda.com/wwe/wwe-news-rey-mysterio-to-face-andrade-in-2-out-of-3-falls-match-on-smackdown-live","article","131"
515325,"What if Shayna Baszler wins the women’s Royal Rumble 2019?","https://www.sportskeeda.com/wwe/what-if-shayna-baszler-wins-the-women-s-royal-rumble-2019","article","101"
515322,"Sarri questions Chelsea motivation after Arsenal surrender","https://www.sportskeeda.com/football/sarri-questions-chelsea-motivation-after-arsenal-surrender","article","569"
515316,"As Solskjaer, Klopp acclaim players, Sarri goes on offensive","https://www.sportskeeda.com/football/solskjaer-breaks-busby-record-united-closes-in-on-4th-place","article","77"
515321,"Emery urges Arsenal to find balance after downing Chelsea","https://www.sportskeeda.com/football/emery-urges-arsenal-to-find-balance-after-downing-chelsea","article","440"
515319,"Koscielny hails Arsenal fighting spirit in Chelsea win","https://www.sportskeeda.com/football/koscielny-hails-arsenal-fighting-spirit-in-chelsea-win","article","344"
515342,"Guardiola keen to keep City rhythm and challenge on four fronts","https://www.sportskeeda.com/football/guardiola-keen-to-keep-city-rhythm-and-challenge-on-four-fronts","article","19"
515317,"Pellegrini: It was not a good idea for Arnautovic to play","https://www.sportskeeda.com/football/pellegrini-it-was-not-a-good-idea-for-arnautovic-to-play","article","47"
515326,"Simeone excited by improving Atleti","https://www.sportskeeda.com/football/simeone-excited-by-improving-atleti","article","24"
515301,"Twitter reacts as Arsenal comfortably beat Chelsea 2-0","https://www.sportskeeda.com/football/twitter-reacts-as-arsenal-comfortably-beat-chelsea-2-0","article","1282"
515309,"Australian Open 2019: Roger Federer vs Stefanos Tsitsipas: Where to watch & live stream details","https://www.sportskeeda.com/tennis/australian-open-2019-roger-federer-vs-stefanos-tsitsipas-where-to-watch-live-stream-details","article","72"
515311,"US striker Tim Weah, son of George, scores on Celtic debut","https://www.sportskeeda.com/football/us-striker-tim-weah-son-of-george-scores-on-celtic-debut","article","33"
515333,"For Real Madrid, nothing is impossible - Solari refuses to give up in title race","https://www.sportskeeda.com/football/for-real-madrid-nothing-is-impossible-solari-refuses-to-give-up-in-title-race","article","24"
515315,"Liverpool impone su pegada ante Crystal Palace","https://www.sportskeeda.com/football/liverpool-impone-su-pegada-ante-crystal-palace","article","20"
515314,"Iran v Oman: We're not satisfied yet, says Al Mahaijri","https://www.sportskeeda.com/football/iran-v-oman-we-re-not-satisfied-yet-says-al-mahaijri","article","19"
515335,"France ends 28-match US unbeaten run with 3-1 victory","https://www.sportskeeda.com/football/france-ends-28-match-us-unbeaten-run-with-3-1-victory","article","14"
515307,"Dyche defiant despite offside call","https://www.sportskeeda.com/football/dyche-defiant-despite-offside-call","article","13"
515328,"Marshawn Lynch will continue playing 'if it works out'","https://www.sportskeeda.com/football/marshawn-lynch-will-continue-playing-if-it-works-out","article","10"
515332,"No. 3 Vols rally past Alabama, make case to lead AP Top 25","https://www.sportskeeda.com/basketball/no-3-vols-rally-past-alabama-make-case-to-lead-ap-top-25","article","9"
